"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category","quantity_to_sell_on_facebook","sale_price","sale_price_effective_date","item_group_id","gender","color","size","age_group","material","pattern","shipping","shipping_weight"
358941,Pacoquinha Mindy Rolha 350g Pacoquinha Mind,Pacoquinha Mindy Rolha 350g Pacoquinha Mind,in_stock,new,11.98,https://lojaonlinedev.regexsolutions.com.br/p/d/357135/pacoquinha-mindy-rolha-350g-pacoquinha-mind/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/26ec8f29-7d79-40d4-ad5f-34c171a451c2.jpg,brand,google_product_category,fb_product_category,"100",11.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
375771,Paçoquinha Yoki Tipo Rolha 352g,Paçoquinha Yoki Tipo Rolha 352g,in_stock,new,14.99,https://lojaonlinedev.regexsolutions.com.br/p/d/358795/pacoquinha-yoki-tipo-rolha-352g/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/f6e4271c-5aa0-4da3-bc20-e8c4d11186ab.jpg,brand,google_product_category,fb_product_category,"100",14.99,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
460354,Paçoquita Quadadrada Santa Helena 320g,Paçoquita Quadadrada Santa Helena 320g,in_stock,new,15.98,https://lojaonlinedev.regexsolutions.com.br/p/d/367108/pacoquita-quadadrada-santa-helena-320g/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/83c5add6-e0a8-4509-aec1-ef9a54fd6e11.jpg,brand,google_product_category,fb_product_category,"100",15.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
549110,Paçoquita C  Aveia Santa Helena 88g............... S  Adição De Açúcar,Paçoquita C  Aveia Santa Helena 88g............... S  Adição De Açúcar,in_stock,new,8.98,https://lojaonlinedev.regexsolutions.com.br/p/d/375826/pacoquita-c-aveia-santa-helena-88g-s-adicao-de-acucar/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/3626b85a-5e60-42d6-9094-58f52ffc62dc.jpg,brand,google_product_category,fb_product_category,"100",8.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
718325,Milho Verde Stella D`oro 170g,Milho Verde Stella D`oro 170g,in_stock,new,1.99,https://lojaonlinedev.regexsolutions.com.br/p/d/392571/milho-verde-stella-doro-170g/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/2354042c-b0f2-453c-8c89-6150170bed6a.jpg,brand,google_product_category,fb_product_category,"100",1.99,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
475,ALHO EXTRA KG,ALHO EXTRA KG,in_stock,new,18.81,https://lojaonlinedev.regexsolutions.com.br/p/d/322245/alho-extra-kg/p,https://cdn.regexsolutions.com.br/dev/produtos/78e97ae2-9c26-4371-8189-4eac1c85c588/150/bc74b5f0-1dd3-4db6-8e14-4a03e0e1384a.jpg,brand,google_product_category,fb_product_category,"100",18.81,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
683388,Creme Dental Colgate Natural Extracts Detox 90g,Creme Dental Colgate Natural Extracts Detox 90g,in_stock,new,7.98,https://lojaonlinedev.regexsolutions.com.br/p/d/389119/creme-dental-colgate-natural-extracts-detox-90g/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/bd436a98-418d-4ec8-8cf6-2432f9a5716e.jpg,brand,google_product_category,fb_product_category,"100",7.98,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
30496,Creme Dental Colgate Mpa Neutraçúcar 70g,Creme Dental Colgate Mpa Neutraçúcar 70g,in_stock,new,4.89,https://lojaonlinedev.regexsolutions.com.br/p/d/325154/creme-dental-colgate-mpa-neutracucar-70g/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/fed8223d-8ce4-456c-82c0-e401dc330366.jpg,brand,google_product_category,fb_product_category,"100",4.89,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
441575,Sabonete Flor De Ypê Mistérios Da Natureza Lilás 90g,Sabonete Flor De Ypê Mistérios Da Natureza Lilás 90g,in_stock,new,1.05,https://lojaonlinedev.regexsolutions.com.br/p/d/365262/sabonete-flor-de-ype-misterios-da-natureza-lilas-90g/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/d8cbc9e4-7d98-4583-873b-aae9f732e3c5.jpg,brand,google_product_category,fb_product_category,"100",1.05,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
469074,Desinfetante Ypê Pinho Lavanda 500ml,Desinfetante Ypê Pinho Lavanda 500ml,in_stock,new,3.99,https://lojaonlinedev.regexsolutions.com.br/p/d/367971/desinfetante-ype-pinho-lavanda-500ml/p,https://cdn.regexsolutions.com.br/production/produtos/base/150/c210e8ea-102e-4636-ae1d-51fe0f9dafc2.jpg,brand,google_product_category,fb_product_category,"100",3.99,"2020-04-30T09:30-08:00/2025-05-30T23:59-08:00","888",gender,color,size,age_group,material,pattern,shipping,shipping_weight
